account_type,hour,dow,stage,alpha,n,ter
human,3,4,stratified,0.005,25666,0.5766383542429673
human,3,4,stratified,0.001,25666,0.5844307644354398
human,3,5,global,0.05,26122,0.36291248755837985
human,3,5,global,0.01,26122,0.23734782941581808
human,3,5,global,0.005,26122,0.34453717173263915
human,3,5,global,0.001,26122,0.9953296072276242
human,3,5,stratified,0.05,26122,0.7648725212464589
human,3,5,stratified,0.01,26122,0.8115764489702166
human,3,5,stratified,0.005,26122,0.8957966465048617
human,3,5,stratified,0.001,26122,1.7226858586631957
human,3,6,global,0.05,30285,0.5468053491827637
human,3,6,global,0.01,30285,0.25755324418028724
human,3,6,global,0.005,30285,0.34340432557371636
human,3,6,global,0.001,30285,0.46227505365692584
human,3,6,stratified,0.05,30285,0.7871883770843652
human,3,6,stratified,0.01,30285,0.5283143470364867
human,3,6,stratified,0.005,30285,0.5217104176985305
human,3,6,stratified,0.001,30285,0.2971768202080237
human,4,0,global,0.05,34565,0.6382178504267322
human,4,0,global,0.01,34565,0.22855489657167652
human,4,0,global,0.005,34565,0.23144799652828008
human,4,0,global,0.001,34565,0.5207579921886302
human,4,0,stratified,0.05,34565,0.9801822652972659
human,4,0,stratified,0.01,34565,0.7666714884999276
human,4,0,stratified,0.005,34565,0.7232749891508752
human,4,0,stratified,0.001,34565,0.9836539852451902
human,4,1,global,0.05,34723,0.6456815367335772
human,4,1,global,0.01,34723,0.3311925812861792
human,4,1,global,0.005,34723,0.2937534199233937
human,4,1,global,0.001,34723,0.6047864527834576
human,4,1,stratified,0.05,34723,1.342625925179276
human,4,1,stratified,0.01,34723,1.431327938254183
human,4,1,stratified,0.005,34723,1.59548426115255
human,4,1,stratified,0.001,34723,1.0367767762002131
human,4,2,global,0.05,29596,0.7433436950939316
human,4,2,global,0.01,29596,0.3378834977699689
human,4,2,global,0.005,29596,0.3311258278145695
human,4,2,global,0.001,29596,0.23651844843897823
human,4,2,stratified,0.05,29596,1.749560751452899
human,4,2,stratified,0.01,29596,1.9259359372888227
human,4,2,stratified,0.005,29596,1.946208947155021
human,4,2,stratified,0.001,29596,0.23651844843897823
human,4,3,global,0.05,25849,0.31258462609772136
human,4,3,global,0.01,25849,0.15474486440481255
human,4,3,global,0.005,25849,0.17795659406553443
human,4,3,global,0.001,25849,0.30948972880962516
human,4,3,stratified,0.05,25849,0.7946148787187125
human,4,3,stratified,0.01,25849,0.6731401601609346
human,4,3,stratified,0.005,25849,0.5802932415180471
human,4,3,stratified,0.001,25849,0.6189794576192503
human,4,4,global,0.05,25972,0.3134144463268135
human,4,4,global,0.01,25972,0.20406591714153705
human,4,4,global,0.005,25972,0.30802402587401817
human,4,4,global,0.001,25972,0.84706607115355
human,4,4,stratified,0.05,25972,0.7862313260434314
human,4,4,stratified,0.01,25972,0.6738025565994147
human,4,4,stratified,0.005,25972,0.6314492530417373
human,4,4,stratified,0.001,25972,0.5005390420452795
human,4,5,global,0.05,26419,0.39592717362504254
human,4,5,global,0.01,26419,0.2990272152617434
human,4,5,global,0.005,26419,0.4239373178394338
human,4,5,global,0.001,26419,0.6434762860062834
human,4,5,stratified,0.05,26419,0.7744426359816798
human,4,5,stratified,0.01,26419,0.8781558726673985
human,4,5,stratified,0.005,26419,1.0598432945985843
human,4,5,stratified,0.001,26419,1.9682804042545137
human,4,6,global,0.05,30585,0.5224783390550923
human,4,6,global,0.01,30585,0.3138793526238352
human,4,6,global,0.005,30585,0.392349190779794
human,4,6,global,0.001,30585,0.4904364884747425
human,4,6,stratified,0.05,30585,0.9632172633643943
human,4,6,stratified,0.01,30585,0.8566290665358837
human,4,6,stratified,0.005,30585,0.7977766879189145
human,4,6,stratified,0.001,30585,0.8500899133562203
human,5,0,global,0.05,35020,0.5619645916619074
